uai - identifiant;Libellé;sigle;type d'établissement;Secteur d'établissement;Établissements d'enseignement supérieur accrédités à délivrer le doctorat;localisation;Site internet;Géolocalisation;siret;siren;Identifiant wikidata;Elément wikidata;Identifiant ETER;Identifiant ROR;Elément ROR;Identifiant GRID;Elément GRID;Identifiant OrgRef;Identifiant ISNI;Elément ISNI;Identifiant Funding Data;Elément Funding Data;rattachement_identifiants;rattachement;dernier_decret_legifrance;Code commune;Commune;Code unité urbaine;Unité urbaine;Code département;Département;Code académie;Académie;Code région;Région;Ancien code région;Ancienne région;Mention distribution;Adresse;Lieu dit;Boite postale;Code postal;Localité;Pays;Numéro de téléphone;qualification_court;Qualification;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_viadeo;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_googleplus;implantations;mooc;Page Wikipédia en français;Page Wikipédia en anglais;English name;Site internet en anglais;Site internet en chinois;Site internet en espagnol;Site internet en allemand;Site internet en italien;Identifiant interne;Anciens codes uai;Identifiant dataESR;article;universités fusionnées;Vague contractuelle
0130230E;École de l'air;;Grand établissement;Public;;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Salon-de-Provence;https://devenir-aviateur.fr/;43.624652,5.111764;13002454000010;130024540;Q3577870;https://www.wikidata.org/entity/Q3577870;;01gtsrs29;https://ror.org/01gtsrs29;grid.462154.0;https://www.grid.ac/institutes/grid.462154.0;2273637;0000 0001 0472 6341;http://isni.org/isni/0000000104726341;;;;;;13103;Salon-de-Provence;UU13501;Salon-de-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;BASE AERIENNNE 701;CHEMIN DE SAINT JEAN;;;13661;SALON AIR CEDEX;France;;;;;;;;;;;;;;;;;;;;;;;https://en.wikipedia.org/wiki/%C3%89cole_de_l%27air;;;;;;;jHA81;;;à l';;
0760168V;École de management de Normandie;EM Normandie;École;Privé;;Normandie>Seine-Maritime>Le Havre;http://www.ecole-management-normandie.fr/;49.489242,0.104132;78837489000010;788374890;Q3577891;https://www.wikidata.org/entity/Q3577891;;;;;;;;;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=101410&cbo=1;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;30 RUE DE RICHELIEU;;;76087;LE HAVRE CEDEX;France;0232925999;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/EMNormandie;https://twitter.com/EMNormandie;;;;;https://www.linkedin.com/company/805797?trk=tyah;http://fr.viadeo.com/fr/company/em-normandie;;;;http://lesbellesreussitesemnormandie.tumblr.com/;https://www.youtube.com/user/TheEmnormandy;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_de_management_de_Normandie;;EM Normandie;;;;;;NAzKJ;;;à l';;
0783054W;École des hautes études commerciales de Paris;HEC Paris;École;Privé;Oui;Île-de-France>Versailles>Yvelines>Paris>Jouy-en-Josas;http://www.hec.fr/;48.75673,2.16757;81775918600023;817759186;Q273535;https://www.wikidata.org/entity/Q273535;;0423jsj19;https://ror.org/0423jsj19;grid.434184.e;https://www.grid.ac/institutes/grid.434184.e;541509;0000 0004 0641 8416;http://isni.org/isni/0000000406418416;;;;;;78322;Jouy-en-Josas;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;1 rue de la Libération;;;78351;JOUY EN JOSAS CEDEX;France;;;;https://www.facebook.com/HECParis;https://twitter.com/HECParis;https://www.instagram.com/hec_paris/;;https://www.pinterest.fr/hecparis/;;http://www.linkedin.com/company/hec-paris;;;;;http://hecparis-bschool.tumblr.com/;https://www.youtube.com/user/hecparis;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_des_hautes_%C3%A9tudes_commerciales_de_Paris;https://en.wikipedia.org/wiki/HEC_Paris;;http://www.hec.edu/;;;;;2rXuC;;;à l';;
0590350K;École des hautes études commerciales du nord;Edhec;École;Privé;;Hauts-de-France>Lille>Nord>Lille>Roubaix;http://www.edhec.com/;50.675936,3.169424;78370706000027;783707060;Q769040;https://www.wikidata.org/entity/Q769040;;05q7a8a02;https://ror.org/05q7a8a02;grid.462199.1;https://www.grid.ac/institutes/grid.462199.1;;0000 0001 2105 7899;http://isni.org/isni/0000000121057899;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;24 AVENUE GUSTAVE DELORY;;;59057;ROUBAIX CEDEX 1;France;0320154500;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/edhec;https://twitter.com/EDHEC_BSchool;;https://www.flickr.com/groups/1695934@N23/pool/;;http://www.edhec.com/adminsite/webservices/export_rss.jsp?OBJET=ARTICLE&CODE_RUBRIQUE=INST_6&NOMBRE=10&xtor=RSS-229;https://www.linkedin.com/edu/edhec-business-school-19922;;;;;;https://www.youtube.com/user/EDHECBSchool;;;;;;https://fr.wikipedia.org/wiki/EDHEC_Business_School;https://en.wikipedia.org/wiki/EDHEC_Business_School_(Ecole_des_Hautes_Etudes_Commerciales_du_Nord);;;;;;;nikMz;;;à l';;
0171435T;École d'ingénieurs en génie des systèmes industriels;EIGSI;École;Privé;;Nouvelle-Aquitaine>Poitiers>Charente-Maritime>La Rochelle;http://www.eigsi.fr/;46.203182,-0.816317;35340877600022;353408776;Q3577771;https://www.wikidata.org/entity/Q3577771;FR0013;03hz42y69;https://ror.org/03hz42y69;grid.462149.c;https://www.grid.ac/institutes/grid.462149.c;25343136;0000 0001 0018 053X;http://isni.org/isni/000000010018053X;;;;;;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Nouvelle-Aquitaine;R54;Poitou-Charentes;;26 RUE VAUX DE FOLETIER;;;17041;LA ROCHELLE CEDEX 1;France;0546458000;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/eigsi.ingenieurs;https://twitter.com/EIGSI;https://www.instagram.com/myeigsi/;;;http://feeds.feedburner.com/~u/17937432232798778145;;;;;;;https://www.youtube.com/user/eigsilarochelle;;;https://plus.google.com/112518007062118549688/;;;https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_en_g%C3%A9nie_des_syst%C3%A8mes_industriels;https://en.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_g%C3%A9n%C3%A9ralistes_La_Rochelle;EIGSI;http://www.eigsi.fr/?lang=en;;;;;1UWns;;;à l';;
0753237L;Arts et métiers sciences et technologies;;Grand établissement;Public;Oui;Île-de-France>Paris>Paris 13e;http://www.ensam.eu/;48.8337,2.35751;19753472000010;197534720;Q2570220;https://www.wikidata.org/entity/Q2570220;FR0185;018pp1107;https://ror.org/018pp1107;grid.434207.6;https://www.grid.ac/institutes/grid.434207.6;41325078;0000 0001 2194 6047;http://isni.org/isni/0000000121946047;;;;;;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;151 BOULEVARD DE L'HOPITAL;;;75013;PARIS;France;0144246299;;;https://www.facebook.com/AMParisTech;https://twitter.com/AM_ParisTech;;;;http://www.ensam.eu/rss/feed/actualites;;http://www.viadeo.com/fr/company/arts-et-metiers-paristech;;;;;https://www.youtube.com/user/ARTSETMETIERSCOM;;;https://plus.google.com/105796107874035081914;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0753237L;https://www.fun-mooc.fr/universities/arts-et-metiers-paristech/;https://fr.wikipedia.org/wiki/Arts_et_M%C3%A9tiers_ParisTech;https://en.wikipedia.org/wiki/Arts_et_M%C3%A9tiers_ParisTech;;;;;;;jYUcF;;;à;;Vague D
0340112M;École nationale supérieure de chimie de Montpellier;ENS Chimie Montpellier;École;Public;Oui;Occitanie>Montpellier>Hérault>Montpellier;http://www.enscm.fr/;43.63508,3.86542;19340112200018;193401122;Q948420;https://www.wikidata.org/entity/Q948420;FR0051;03sgyqj04;https://ror.org/03sgyqj04;grid.418671.d;https://www.grid.ac/institutes/grid.418671.d;;0000 0001 2175 3544;http://isni.org/isni/0000000121753544;;;0342321N;Université de Montpellier;;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R76;Occitanie;R91;Languedoc-Roussillon;;240 avenue du professeur Émile Jeanbrau;;;34296;Montpellier CEDEX 5;France;0467144300;;;;https://twitter.com/enscmchimiemtp;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0340112M;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_chimie_de_Montpellier;https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_chimie_de_Montpellier;;;;;;;GJYxj;;;à l';;Vague A
0250082D;École nationale supérieure de mécanique et des microtechniques;ENSMM Besançon;École;Public;Oui;Bourgogne-Franche-Comté>Besançon>Doubs>Besançon;http://www.ens2m.fr/;47.251,5.99399;19250082500026;192500825;Q3578235;https://www.wikidata.org/entity/Q3578235;FR0021;05813w841;https://ror.org/05813w841;grid.424460.0;https://www.grid.ac/institutes/grid.424460.0;;0000 0000 8840 8772;http://isni.org/isni/0000000088408772;;;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne-Franche-Comté;R43;Franche-Comté;;26 CHEMIN DE L'EPITAPHE;;;25030;BESANCON CEDEX;France;0381402700;;;;https://twitter.com/ENSMMOfficiel;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0250082D;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_m%C3%A9canique_et_des_microtechniques;https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_m%C3%A9canique_et_des_microtechniques;;;;;;;cWx2t;;;à l';;Vague C
0590338X;École nationale supérieure des arts et industries textiles;ENSAIT;École;Public;;Hauts-de-France>Lille>Nord>Lille>Roubaix;http://www.ensait.fr/;50.6946,3.16932;19590338000010;195903380;Q273582;https://www.wikidata.org/entity/Q273582;FR0114;0002cnv45;https://ror.org/0002cnv45;grid.434225.6;https://www.grid.ac/institutes/grid.434225.6;20683585;0000 0000 8780 8352;http://isni.org/isni/0000000087808352;;;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000246728&fastPos=1&fastReqId=421881616&oldAction=rechExpTexteJorf;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;9 RUE DE L ERMITAGE;;BP 30329;59056;ROUBAIX CEDEX 1;France;0320256458;;;;https://twitter.com/ENSAITinfo;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0590338X;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_et_industries_textiles;https://en.wikipedia.org/wiki/ENSAIT;;;;;;;T6qPJ;;;à l';;Vague E
0141720U;École nationale supérieure d'ingénieurs de Caen;ENSI Caen;École;Public;Oui;Normandie>Calvados>Caen;http://www.ensicaen.fr/;49.2118,-0.367419;19141720300012;191417203;Q3578208;https://www.wikidata.org/entity/Q3578208;FR0010;01fpqqe90;https://ror.org/01fpqqe90;grid.424453.0;https://www.grid.ac/institutes/grid.424453.0;;0000 0000 8694 431X;http://isni.org/isni/000000008694431X;;;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=4CDB3AA29A7C409BB10ADEC6C3F60536.tpdila11v_2?cidTexte=JORFTEXT000031056872&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031056523";14118;Caen;UU14601;Caen;D014;Calvados;A70;Normandie;R28;Normandie;R25;Basse-Normandie;;6 BOULEVARD MARECHAL JUIN;;CS 45053;14050;CAEN CEDEX;France;0231452750;;;https://www.facebook.com/Ensicaen;;;;;http://www.ensicaen.fr/adminsite/webservices/export_rss.jsp?NOMBRE=10;;;;;;;https://www.youtube.com/channel/UCMcgCt5ivQK4Tss5KeweGKQ;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0141720U;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27ing%C3%A9nieurs_de_Caen;https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27ing%C3%A9nieurs_de_Caen;;;;;;;I4SPK;;;à l';;Vague B
0694123G;École normale supérieure de Lyon;ENS de Lyon;École;Public;Oui;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;http://www.ens-lyon.eu/;45.7332,4.83206;13000812100019;130008121;Q10159;https://www.wikidata.org/entity/Q10159;FR0168;04zmssz18;https://ror.org/04zmssz18;grid.15140.31;https://www.grid.ac/institutes/grid.15140.31;319823;0000 0001 2175 9188;http://isni.org/isni/0000000121759188;;;;;;69387;Lyon 7e;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;15 PARVIS RENE DESCARTES;;BP 7000;69342;LYON CEDEX 07;France;;;;https://www.facebook.com/ENSdeLyon?ref=hl;https://twitter.com/ENSdeLyon;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0694123G;https://www.fun-mooc.fr/universities/ens-de-lyon/;https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon;https://en.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon;;;;;;;kWved;0693259T,0693817Z;;à l';;Vague A
0490072M;École supérieure d’agriculture;ESA;École;Privé;;Pays de la Loire>Nantes>Maine-et-Loire>Angers;http://www.groupe-esa.com/;47.458784,-0.543657;34238263700011;342382637;Q3578375;https://www.wikidata.org/entity/Q3578375;FR0096;02vb4k656;https://ror.org/02vb4k656;grid.466405.5;https://www.grid.ac/institutes/grid.466405.5;;;;;;;;;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;55 RUE RABELAIS;;BP 30748;49007;ANGERS CEDEX 01;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/GroupeESA.Angers.officiel;https://twitter.com/Groupe_ESA;;;;;https://www.linkedin.com/school/134403;;;;;;https://www.youtube.com/user/webmastergroupesa;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27agriculture_d%27Angers;;Higher school of agriculture of Angers;http://www.groupe-esa.com/accueil-rubrique-anglais-11228.kjsp?RH=GESA-EN&RF=GESA-EN;;;;;x2D1F;;;à l';;
0141432F;École supérieure d'arts et médias de Caen - Cherbourg;ÉSAM Caen/Cherbourg;École;Public;;Normandie>Calvados>Caen;http://www.esam-c2.fr/;49.180866,-0.346302;20002813200013;200028132;Q3578397;https://www.wikidata.org/entity/Q3578397;FR0009;00c62es15;https://ror.org/00c62es15;grid.466407.7;https://www.grid.ac/institutes/grid.466407.7;;;;;;;;;14118;Caen;UU14601;Caen;D014;Calvados;A70;Normandie;R28;Normandie;R25;Basse-Normandie;;17  COURS CAFFARELLI;;;14000;CAEN;France;;;;https://www.facebook.com/Esam.Caen.Cherbourg/;https://twitter.com/esamCaenCh;https://www.instagram.com/esamcaench/;https://www.flickr.com/people/149867880@N02/;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d'arts_et_m%C3%A9dias_de_Caen_-_Cherbourg;;;http://www.esam-c2.fr/-Studies-;;http://www.esam-c2.fr/-Estudios-;;;HqgFy;;;à l';;
0593207R;École supérieure de journalisme de Lille;ESJ;École;Privé;;Hauts-de-France>Lille>Nord>Lille;http://esj-lille.fr/;50.628789,3.06392;78370701100020;783707011;Q3578450;https://www.wikidata.org/entity/Q3578450;;;;;;;;;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=95615&cbo=1;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;50 RUE GAUTHIER DE CHATILLON;;;59046;LILLE CEDEX;France;0320304410;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_journalisme_de_Lille;;;;;;;;vvxqW;;;à l';;
0490075R;École supérieure d'électronique de l'Ouest;ESEO;École;Privé;;Pays de la Loire>Nantes>Maine-et-Loire>Angers;http://www.eseo.fr/;47.493396,-0.550804;78611671500016;786116715;Q3578422;https://www.wikidata.org/entity/Q3578422;FR0097;;;;;;;;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=101410&cbo=1;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;10 BOULEVARD JEANNETEAU;;;49107;ANGERS CEDEX 02;France;0241866767;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/GroupeESEO/;https://twitter.com/Groupe_ESEO;;;;;;;;;;;https://www.youtube.com/user/ESEOsiteOfficiel;;;;;https://www.fun-mooc.fr/universities/Paris10/;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27%C3%A9lectronique_de_l%27Ouest;;ESEO;http://www.eseo.fr/international/accueil-d-etrangers/english-speaking-students/;;;;;MuSey;;;à l';;
0783664J;École supérieure des techniques aéronautiques et de construction automobile;ESTACA;École;Privé;;Île-de-France>Versailles>Yvelines>Paris>Montigny-le-Bretonneux;http://www.estaca.fr/;48.787656,2.041412;78425950900080;784259509;Q3578506;https://www.wikidata.org/entity/Q3578506;FR0258;;;;;;;;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=95615&cbo=1;78423;Montigny-le-Bretonneux;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;12 AVENUE PAUL DELOUVRIER;;;78180;MONTIGNY LE BRETONNEUX;France;0175645041;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_techniques_a%C3%A9ronautiques_et_de_construction_automobile;;;;;;;;3Ur31;0921929X;;à l';;
0762378X;École supérieure d'ingénieurs en génie électrique;ESIGELEC;École;Privé;;Normandie>Seine-Maritime>Rouen>Saint-Étienne-du-Rouvray;http://www.esigelec.fr/fr;49.384206,1.077571;41370111100028;413701111;Q17672767;https://www.wikidata.org/entity/Q17672767;FR0219;01apwkd48;https://ror.org/01apwkd48;grid.466386.9;https://www.grid.ac/institutes/grid.466386.9;;0000 0001 2177 584X;http://isni.org/isni/000000012177584X;;;;;;76575;Saint-Étienne-du-Rouvray;UU00755;Rouen;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;AVENUE GALILEE;TECHNOPOLE DU MADRILLET;BP10024;76800;ST ETIENNE DU ROUVRAY;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://fr-fr.facebook.com/Page.ESIGELEC;https://twitter.com/GroupeESIGELEC;;;;;;;;;;;https://www.youtube.com/user/ESIGELECIRSEEM;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_en_g%C3%A9nie_%C3%A9lectrique;https://en.wikipedia.org/wiki/ESIGELEC;;http://www.esigelec.fr/en;;;;;OZUAy;;;à l';;
0922563L;École supérieure d'ingénieurs Léonard-de-Vinci;ESILV;École;Privé;;Île-de-France>Versailles>Hauts-de-Seine>Paris>Courbevoie;https://www.esilv.fr/;48.8962,2.2359;40285022600018;402850226;Q3578408;https://www.wikidata.org/entity/Q3578408;FR0259;04sgy3p75;https://ror.org/04sgy3p75;grid.466011.4;https://www.grid.ac/institutes/grid.466011.4;8531748;;;;;;;;92026;Courbevoie;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;12 AVENUE LÉONARD DE VINCI;PÔLE UNIVERSITAIRE LÉONARD DE VINCI;;92916;PARIS LA DÉFENSE CEDEX;France;0141167172;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/ESILVparis/;https://twitter.com/esilvparis;;;;;https://www.linkedin.com/school/esilv---ecole-sup%C3%A9rieure-d'ing%C3%A9nieurs-l%C3%A9onard-de-vinci/;;;;;;https://www.youtube.com/user/esilvparis;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_L%C3%A9onard-de-Vinci;https://en.wikipedia.org/wiki/Leonardo_da_Vinci_Engineering_School;Leonardo da Vinci Engineering School;https://www.esilv.fr/en/;;;;;ylVkq;;;à l';;
0442278M;École supérieure du bois;ESB NANTES;École;Privé;;;https://www.ecoledubois.fr/;47.284,-1.514663;78452130400021;784521304;Q3578509;https://www.wikidata.org/entity/Q3578509;;03x8h1v05;https://ror.org/03x8h1v05;grid.466394.a;https://www.grid.ac/institutes/grid.466394.a;;0000 0000 9727 8543;http://isni.org/isni/0000000097278543;;;;;;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;9 RUE CHRISTIAN PAUC;CHANTRERIE;BP10605;44306;NANTES CEDEX 3;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_bois;;;;;;;;78FKM;;;à l';;
;Groupe Institut catholique d'arts et métiers;ICAM;École;Privé;;Île-de-France>Paris>Paris 8e;https://www.icam.fr/;48.87332,2.31316;43994642700028;439946427;Q3151859;https://www.wikidata.org/entity/Q3151859;FR0214;;;;;;;;;;;;;75108;Paris 8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;53 rue La Boétie;;;75008;Paris;France;;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/Icam.Faire.Monde;https://twitter.com/Icam_fr;;;;https://www.icam.fr/category/actualites/feed;https://www.linkedin.com/school/51940?pathWildcard=51940;http://fr.viadeo.com/fr/company/icam;;;;;https://www.youtube.com/user/GroupeIcam;;;;;;https://fr.wikipedia.org/wiki/Institut_catholique_d%27arts_et_m%C3%A9tiers;;;https://www.icam.fr/en/;;;;;cZd69;;;dans le;;
0352349N;Institut catholique de Rennes;ICR;École;Privé;;Bretagne>Rennes>Ille-et-Vilaine>Rennes>Bruz;https://www.icrennes.org/;48.04855,-1.74461;42443712700014;424437127;Q3151862;https://www.wikidata.org/entity/Q3151862;FR0065;05n62pb30;https://ror.org/05n62pb30;grid.448702.d;https://www.grid.ac/institutes/grid.448702.d;21344184;;;;;;;;35047;Bruz;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;R53;Bretagne;;RUE BLAISE PASCAL;CAMPUS DE KER LANN;;35170;BRUZ;France;0299058475;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/icrennes;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Institut_catholique_de_Rennes;;Catholic University of Rennes;;;;;;3SqE2;;;à l';;
0851415B;Institut catholique d'études supérieures;ICES;École;Privé;;Pays de la Loire>Nantes>Vendée>La Roche-sur-Yon;http://ices.fr/;46.672849,-1.419741;37920430800033;379204308;Q3151861;https://www.wikidata.org/entity/Q3151861;FR0237;02tqmhd47;https://ror.org/02tqmhd47;grid.465911.e;https://www.grid.ac/institutes/grid.465911.e;;0000 0001 2097 2067;http://isni.org/isni/0000000120972067;;;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=101410&cbo=1;85191;La Roche-sur-Yon;UU85501;La Roche-sur-Yon;D085;Vendée;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;17 BOULEVARD DES BELGES;;BP 691;85017;LA ROCHE SUR YON CEDEX;France;0251461213;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/Institut_catholique_d%27%C3%A9tudes_sup%C3%A9rieures;https://en.wikipedia.org/wiki/Institut_catholique_d%27%C3%A9tudes_sup%C3%A9rieures;Catholic Institute of Higher Studies;;;;;;xRH6D;;;à l';;
0753364Z;Institut d'administration des entreprises de Paris;IAE de Paris;École;Public;;Île-de-France>Paris>Paris 5e;http://www.iae-paris.com/;48.8384,2.34851;19750002800026;197500028;Q3151899;https://www.wikidata.org/entity/Q3151899;;;;;;;;;;;0751717J;Université Paris 1 - Panthéon Sorbonne;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;21 RUE BROCA;;;75005;PARIS;France;0153552800;;;https://www.facebook.com/iaeparis;https://twitter.com/iaeparis;;https://www.flickr.com/photos/iae-paris/;;;https://www.linkedin.com/company/iaeparis;;;;;;https://www.youtube.com/user/iaeparis;;;https://plus.google.com/+iaeparis;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0753364Z;;https://fr.wikipedia.org/wiki/Institut_d%27administration_des_entreprises_de_Paris;;IAE de Paris;http://www.iae-paris.com/en;;;;;wp55m;;;à l';;Vague D
